Human N 0915
Probe Array Lot: 1004874
Operator Name: JB
Sample Type: Normal
Sample Description: exp.  3/20/024/25/02
Project: 
Comments: 
Reagents: 
Reagent Lot: 
Algorithm: Statistical
Corner+ Avg:76, Count:32
Corner- Avg:6889, Count:32
BF= Alpha1=0.04 Alpha2=0.06 Tau=0.015 Gamma1H=0.0025 Gamma1L=0.0025 Gamma2H=0.003 Gamma2L=0.003 Perturbation=1.1 TGT=500 NF=1.000000 SF=6.263740 SFGene=All 
Background=Avg:46.02,Stdev:0.44,Max:47.5,Min:44.9 Noise=Avg:2.01,Stdev:0.09,Max:2.3,Min:1.8 RawQ=1.75 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
31665_s_at	16	16	113.0	M	0.043968																															
31666_f_at	15	15	5.4	A	0.973263																															
31667_r_at	16	16	391.1	A	0.320830																															
31668_f_at	16	16	770.6	A	0.098054																															
31669_s_at	16	16	276.3	A	0.218983																															
31670_s_at	16	16	111.1	P	0.003067																															
31671_at	16	16	548.8	A	0.162935																															
31672_g_at	16	16	287.5	P	0.008689																															
31673_s_at	16	16	1141.1	P	0.000388																															
31674_s_at	16	16	44.8	A	0.918663																															
31675_s_at	16	16	132.7	P	0.021866																															
31676_at	16	16	18.9	A	0.926170																															
31677_at	16	16	31.3	A	0.520620																															
31678_at	16	16	12.0	A	0.861235																															
31679_at	16	16	9.5	A	0.749276																															
31680_at	16	16	764.8	P	0.001354																															
31681_at	16	16	664.0	A	0.284747																															
31682_s_at	16	16	160.1	A	0.175989																															
31683_at	16	16	84.1	A	0.117160																															
31684_at	16	16	62.7	A	0.204022																															
31685_at	16	16	217.6	A	0.500000																															
31686_at	16	16	14.4	A	0.581931																															
31687_f_at	16	16	34833.6	P	0.000219																															
31688_at	16	16	304.4	A	0.339558																															
31689_at	16	16	27.5	A	0.479380																															
31690_at	16	16	836.2	P	0.008689																															
31691_g_at	16	16	1239.9	P	0.000266																															
31692_at	16	16	443.8	P	0.001892																															
31693_f_at	16	16	70.7	A	0.500000																															
31694_at	16	16	266.3	P	0.007543																															
31695_g_at	16	16	174.0	P	0.027860																															
31696_at	16	16	28.9	A	0.679170																															
